1.000000E+2	1.063356E-1	3.939451E+1
1.258925E+2	1.200020E-1	4.427126E+1
1.584893E+2	1.388379E-1	4.935426E+1
1.995262E+2	1.637373E-1	5.275499E+1
2.511886E+2	1.967342E-1	5.582998E+1
3.162278E+2	2.372945E-1	5.670690E+1
3.981072E+2	2.874860E-1	5.645408E+1
5.011872E+2	3.464628E-1	5.526311E+1
6.309573E+2	4.177230E-1	5.186146E+1
7.943282E+2	4.925389E-1	4.835423E+1
1.000000E+3	5.690994E-1	4.361403E+1
1.258925E+3	6.418887E-1	3.802187E+1
1.584893E+3	7.064369E-1	3.177296E+1
1.995262E+3	7.662490E-1	2.608324E+1
2.511886E+3	8.067617E-1	1.976722E+1
3.162278E+3	8.404552E-1	1.125472E+1
3.981072E+3	8.586787E-1	5.592404E+0
5.011872E+3	8.688210E-1	2.085963E-1
6.309573E+3	8.732198E-1	-5.447170E+0
7.943282E+3	8.746580E-1	-7.144086E+0
1.000000E+4	8.693982E-1	-1.277370E+1
1.258925E+4	8.578099E-1	-1.849072E+1
1.584893E+4	8.381731E-1	-2.094241E+1
1.995262E+4	8.093499E-1	-2.734072E+1
2.511886E+4	7.692987E-1	-3.457343E+1
3.162278E+4	7.184387E-1	-3.841407E+1
3.981072E+4	6.519125E-1	-4.666931E+1
5.011872E+4	5.790502E-1	-5.412786E+1
6.309573E+4	5.015314E-1	-6.315014E+1
7.943282E+4	4.257477E-1	-6.676849E+1
1.000000E+5	3.540126E-1	-7.373871E+1
1.258925E+5	2.889793E-1	-8.038259E+1
1.584893E+5	2.358721E-1	-8.338150E+1
1.995262E+5	1.900796E-1	-8.870243E+1
2.511886E+5	1.521066E-1	8.591468E+1
3.162278E+5	1.220235E-1	8.411591E+1
3.981072E+5	9.731204E-2	7.905282E+1
5.011872E+5	7.741530E-2	7.280945E+1
6.309573E+5	6.111588E-2	6.608173E+1
7.943282E+5	4.810640E-2	5.485239E+1
1.000000E+6	3.748308E-2	4.632433E+1
